,Unnamed: 0,업데이트영상,시간,시청기록,검색기록,키워드,추천영상,url
14,14,"김광현, 입지 흔들리나… LAD전 등판 취소→불펜 대기/ 19시 스포츠타임 뉴스 LIVE",스트리밍 시간: 9시간 전,중대장이 실망한 이유를 본 ★★2스타 사단장 반응 (군대 계급별 특징 장교 편) ,명문대 합격을 위한 에세이 브레인스토밍 tip! 효율적으로 에세이 쓰는법 ,리,https://www.youtube.com/watch?v=e6iuohGGYcI,요리사 두명이 캠핑을 가면 만드는 요리 (feat.미친고기양념 레시피)
15,15,나이 24살 l 3룸 매매해서 자취해요 l 몇평이에요? 모르겠는데요;; l 인천 부평 편 l,10시간 전,ISS through my Telescope (Compilation) ,[한국어ASMR] 탭핑ASMR ,사단장,https://www.youtube.com/watch?v=zdSZ79MuKC0,"을해 일주론 ""을해 일주 운세"" 乙亥을해 일주는  / 착하고 부드러운 사람, 지식으로 먹고살아간다"
16,16,무난한 출발은 했지만… 벤투호에 드리워진 '불안한 그림자' #SPORTSTIME,10시간 전,Galaxys and Nebulas through my Telescope (Deep Sky Objects) ,무난한 출발은 했지만… 벤투호에 드리워진 '불안한 그림자'  ,영상,https://www.youtube.com/watch?v=YyTx96HVE6M,[태연 메이크업] 최초공개!! 태연의 WEEKEND 뮤비 메이크업 대공개 ㅣ상상 그 이상의 메이크업 하우투ㅣ실 사용 아이템과 사용법 공개ㅣ최다 요청 위켄드 메이크업
17,17,70년 노포 곰탕집 : 소 X알 + 곶휴.. 싹둑.. 정력에 그렇게 좋다고..,10시간 전,Saturn through my Telescope ,'띵 시리즈' 베테랑 편집자에게 듣는 에세이 출판 기획의 모든 것 【말줄임표 S2E7】 ,스트리밍,https://www.youtube.com/watch?v=oEXEqn4wcOE,부산 브이로그🍓 한국 유치원 준비물 | 부침개 만들고 #피자스쿨 먹방 | 해운대 갓성비 맛집 | 아울렛 쇼핑 하울
18,18,손절해야 하는 인간관계,10시간 전,4억 5천만원 망원경으로 하늘을 봤더니... ,[ ,다운로드,https://www.youtube.com/watch?v=t6mQtUmrrIQ,역대 하계 패럴림픽(장애인 올림픽) 메달 순위 (1896-2020)
19,19,세종에 이것(?) 좀 생겼으면 좋겠다 Top5 #맥아침 #세종시생겼으면 #세종시리뷰,11시간 전,12인치 돕소니안 천체망원경으로 목성 토성 달 관측 ,❤연애 못하는 사람 특징❌ / 시리즈 액괴 시리즈액괴 시액 액괴시리즈 액시 슬라임 쥐돌님 연애 특징 시루 ,프로그램,https://www.youtube.com/watch?v=jU7TtdPCjxI,세종에 이것(?) 좀 생겼으면 좋겠다 Top5 #맥아침 #세종시생겼으면 #세종시리뷰
20,20,명문대 합격을 위한 에세이 브레인스토밍 tip! 효율적으로 에세이 쓰는법,15시간 전,[목성의 위성] 갈릴레이 위성을 줌(Zoom)으로 당겨보았습니다 Nikon P1000_Zoom Galiean Moons_Ganymede_Io_Europa_Callisto_KOREA ,ASMR. 치과도구(갈고리)  ,메이크업,,
21,21,형제는 용감했다....,15시간 전,"[못믿겠다해서 동영상으로 찍었음]토성, 목성, 달을 땡겨보면 정말 그 자리에 있을까? l Nikon P1000_Moon Saturn Jupiter Zoom Planet ",텐션 업  사장님~~ 놀라운 손기술 ,완전,,
22,22,서비스 정신이 결여된 그녀~~ㅋ,15시간 전,고도 1100미터 조경철 천문대에 다녀왔습니다!! ,"미국, 높은 백신 접종률에도 변이바이러스 확산 우려 / KBS 2021.04.17. ",|,,
23,23,텐션 업  사장님~~ 놀라운 손기술,15시간 전,10만원 망원경으로 성운촬영이 가능할까? 게다가 서울 -_-;; ,[ASMR] 통을 이용한 잠 오는 소리_입소리 단어반복 탭핑_ Unusual mouth sounds and tapping_ 口音 ,약속,,
24,24,과학과사람들 Live 신기한 과학사진 해설해드림!,스트리밍 시간: 15시간 전,"10만원으로 천체관측하기(달,토성 어포컬촬영) ",미국 여행할 때 맥도날드에서 반값으로 먹는 방법 ,방법,,
25,25,인플레시대에 돈 버는 방법과 가난해지는 이유 (아는선배),스트리밍 시간: 15시간 전,1월24일 현재 20만원이내 가성비 추천망원경! F900X80AZ ,%EB%82%B4%EB%85%84%EB%A7%90%EA%B9%8C%EC%A7%80%20%EC%84%9C%EC%9A%B8%20%EC%B5%9C%EB%8C%80%2017%%20%ED%95%98%EB%9D%BD%20... ,칫솔,,
26,26,역대 하계 패럴림픽(장애인 올림픽) 메달 순위 (1896-2020),17시간 전,병사들은 소름 돋는 군대 짤을 본 ★★ 2스타 사단장의 반응 (2탄) ,러시아가 한국에 대한 호감도 1위를 표한 진짜 이유?! (ft. 한국의 의리) ,팅글,,
27,27,[희소식] 유전성 혈관부종을 위한 예방약이 있나요? | 유전성 혈관부종 | 치료 2화,17시간 전,군대 계급별 특징을 본 ★★2스타 사단장 반응 (부사관 편) ,한국 아이스크림을 처음 먹어본 미국인들의 반응!? // Americans React to Korean Ice Creams!! ,초고속,,
28,28,PER 말고 저평가 주식을 찾는 방법 (EV/EBITDA활용법),19시간 전,Morning Coding in Chicago | LoFi Jazz Hip-Hop [Code - Relax - Study] ,데일리 10분컷 변장메이크업 / my daily 10 mins make-up💗 ,사람,,
29,29,,,초고속 팅글 ASMR ,"【리빙tv】손바닥 세계여행, 캄보디아 프놈펜에 평양랭면관이 있다 ",마이크,,
30,30,,,ASMR 립스틱 메이크업 가게💄Lipstick Make-up Shop asmr (SUB ✔) ,1편 유산소는 이제 그만  트리거의 최고의 살빼기 방법은 바로 이것!  [트리거15초] ,"무편집버전ㅣ입소리,탭핑,시각적팅글ㅣ화면",,
31,31,,,전쟁이 일어나면 ★장군들이 하는 일 ,"캄보디아서 대박난 매운 한국 라면, 미쎄울! (부제 : 그녀가 이마에 파스를 붙인 이유는?)  | មីហឹរសេអ៊ូល | 까니까 먹방 ",쿠션,,
32,32,,,장군이 되면 받는 놀라운 혜택들 (연봉 ㄷㄷ) ,한국 LG OLED TV의인기비결은???해외반응 – 일본이것이 한국의 기술이다!!일본방송에서 극찬하는 반응 ,브러슁,,
33,33,,,군필만 이해한다는 소름돋는 짤을 본 ★★2스타 사단장 ,"김광현, 입지 흔들리나… LAD전 등판 취소→불펜 대기/ 19시 스포츠타임 뉴스 LIVE ",영국,,
34,34,,,국정원 요원이 받는 비밀스런 훈련들(관상보는 훈련) ,초보의 '근육 수호신' VS 고수의 '전설 수호신'! 고수 수호신의 엄청난 핵사기 능력! 그리고.. [마인크래프트] ,한국의,,
35,35,,,국정원에 들어가게 되면 받는 것들 ,김정은 짤을 보고 한국인 드립에 충격받은 북한사람 반응 ,여행,,
36,36,,,Keep Calm and Study 📚 Ambient Lofi Jazz Music for Studying 🪴  [24/7 Live] ,외국인을 처음 만난 고등학생 반응 ,전세계,,
37,37,,,국정원에 들어가려면 필요한 의외의 조건들 ,아나콘다 시리즈 전편리뷰! 1부 원주민 모자이크 완료! (미안함) ,잠이솔솔,,
38,38,,,국정원에 합격해도 비밀인 이유(몰래 티내는 방법) ,파리 한복판 중국인들의 기이한 행동에 해외네티즌들 한국소환중인 이유 ,퍼프상점,,
39,39,,,4-Hour Study With Me [Muted Classical Piano Music + Fireplace] Pomodoro 50/10 ,올로드샵💙 메이크업 도구 포함 5만원으로 학생 풀메이크업 💙 화알못들 여기 여기 모여라 (저렴이템 추천) ,롤플레이,,
